episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
462,70.6851,23.5617,0.7333,39.8876,1.0000,0.5374,0.0000,0.8222
191,107.5845,35.8615,0.1733,104.0519,1.0963,0.6029,0.2333,0.3389
463,-48.5010,-16.1670,0.5400,101.4318,1.0222,0.3970,0.2333,0.6111
192,90.0574,30.0191,0.1715,121.2855,1.0333,0.5941,0.3056,0.4778
464,48.4456,16.1485,0.7333,40.3358,1.0000,0.5268,0.0000,0.6944
193,141.1309,47.0436,0.1977,130.9558,1.0222,0.5911,0.3500,0.5056
465,9.8418,3.2806,0.7333,41.9430,1.0000,0.4933,0.0000,0.7667
194,107.3628,35.7876,0.1723,136.3873,1.0037,0.5822,0.3722,0.4889
466,65.7890,21.9297,0.7333,39.1787,1.0000,0.5467,0.0000,0.7722
195,159.3548,53.1183,0.1961,121.6610,1.0556,0.5961,0.3056,0.5611
467,50.8075,16.9358,0.7333,41.6981,1.0000,0.5051,0.0000,0.7778
196,72.1011,24.0337,0.1931,140.8518,1.0444,0.5833,0.3889,0.5278
468,34.4356,11.4785,0.7333,42.2484,1.0000,0.4874,0.0000,0.7889
469,82.8084,27.6028,0.7333,35.3125,1.0000,0.6162,0.0000,0.6833
197,28.6213,9.5404,0.2055,138.9856,1.0370,0.5866,0.3833,0.5222
470,59.7077,19.9026,0.7333,39.1347,1.0000,0.5450,0.0000,0.7389
198,125.0888,41.6963,0.2466,134.6522,1.0037,0.5945,0.3833,0.4833
471,72.6015,24.2005,0.7333,38.5222,1.0000,0.5634,0.0000,0.8889
199,96.5822,32.1941,0.1581,125.4246,1.0519,0.5827,0.3222,0.3889
472,68.9304,22.9768,0.7333,38.2285,1.0000,0.5622,0.0000,0.8167
200,61.0684,20.3561,0.1392,143.6019,1.0333,0.5637,0.3833,0.4333
473,60.6304,20.2101,0.7333,36.4804,1.0000,0.5938,0.0000,0.8833
201,125.0071,41.6690,0.2122,141.6345,1.0630,0.5697,0.3944,0.5167
474,94.5200,31.5067,0.7333,37.1372,1.0000,0.5852,0.0000,0.8611
202,153.2783,51.0928,0.2265,128.5669,1.0444,0.5901,0.3444,0.5278
475,95.4686,31.8229,0.7333,36.9407,1.0000,0.5842,0.0000,0.8556
203,45.7196,15.2399,0.1379,121.2469,1.0926,0.5752,0.2833,0.4000
476,43.7233,14.5744,0.7200,43.6971,1.0148,0.5589,0.0222,0.8000
204,13.2784,4.4261,0.1269,136.0926,1.0926,0.5585,0.3500,0.3278
477,93.5676,31.1892,0.7333,36.0309,1.0000,0.6011,0.0000,0.8056
205,11.7664,3.9221,0.1267,159.3570,1.0148,0.5451,0.4444,0.4333
478,60.7245,20.2415,0.7333,30.2968,1.0000,0.7042,0.0000,0.6778
206,77.8217,25.9406,0.1483,133.2648,1.0926,0.5786,0.3444,0.3222
479,70.1291,23.3764,0.7333,33.6489,1.0000,0.6364,0.0000,0.8389
207,91.9237,30.6412,0.1649,131.4286,1.0259,0.5762,0.3500,0.4667
480,-12.5270,-4.1757,0.7333,34.7880,1.0000,0.6274,0.0000,0.7389
208,5.5681,1.8560,0.1289,158.2317,1.0519,0.5527,0.4444,0.3611
481,11.8526,3.9509,0.5900,86.5923,1.0185,0.4651,0.1833,0.5944
209,63.3286,21.1095,0.2291,146.9352,1.0185,0.5742,0.4278,0.4778
482,-24.1466,-8.0489,0.5522,98.3188,1.0259,0.3963,0.2167,0.5556
210,-90.3246,-30.1082,0.1204,161.5798,1.0333,0.5404,0.4611,0.3722
483,5.7385,1.9128,0.7000,55.1823,1.0370,0.4902,0.0556,0.7778
211,-116.4440,-38.8147,0.1137,164.4917,1.0704,0.5427,0.4667,0.3111
