episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
171,-4641.1025,-464.1102,0.0814,252.6167,1.0982,0.2597,0.8222,0.1500
122,-7002.6364,-700.2636,0.0933,244.1828,1.0744,0.2716,0.7896,0.1600
206,-5529.7003,-552.9700,0.0949,244.9656,1.2362,0.2712,0.7937,0.1533
94,-8040.8446,-804.0845,0.0930,245.2676,1.0861,0.2685,0.7941,0.1500
172,-5638.6453,-563.8645,0.0963,246.2925,1.0957,0.2677,0.7996,0.1550
123,-6174.8345,-617.4834,0.0778,248.2779,1.5164,0.2682,0.8019,0.1600
207,-5768.0791,-576.8079,0.1105,236.7401,1.2906,0.2825,0.7633,0.1533
95,-7086.4053,-708.6405,0.1113,232.6655,1.1956,0.2925,0.7456,0.1783
173,-6621.7202,-662.1720,0.1086,240.6931,1.1153,0.2748,0.7796,0.1567
124,-6644.9103,-664.4910,0.0934,246.8603,1.0830,0.2645,0.8011,0.1500
208,-5033.8169,-503.3817,0.1451,217.2490,1.1509,0.3089,0.6907,0.1600
96,-4812.4417,-481.2442,0.0974,244.8851,1.4701,0.2703,0.7937,0.1633
174,-6289.5683,-628.9568,0.0758,253.0513,1.1331,0.2581,0.8222,0.1500
125,-7081.3049,-708.1305,0.0798,251.2846,1.1502,0.2623,0.8156,0.1500
209,-3633.3236,-363.3324,0.1729,212.9150,1.1167,0.3198,0.6811,0.1683
175,-6041.0039,-604.1004,0.0850,247.9017,1.1240,0.2662,0.8030,0.1483
97,-7519.8231,-751.9823,0.0746,254.4130,1.0912,0.2581,0.8278,0.1517
126,-8056.8478,-805.6848,0.1029,243.5767,1.0783,0.2679,0.7904,0.1483
210,-4749.8940,-474.9894,0.1109,238.8423,1.1194,0.2747,0.7722,0.1550
176,-5806.9081,-580.6908,0.1022,239.8341,1.1216,0.2757,0.7737,0.1500
98,-6006.5916,-600.6592,0.0842,249.1224,1.1359,0.2656,0.8081,0.1450
127,-4719.4387,-471.9439,0.1581,217.7729,1.0725,0.3081,0.6974,0.1633
211,-5824.4979,-582.4498,0.1075,240.4519,1.1231,0.2745,0.7781,0.1467
177,-6374.7813,-637.4781,0.0925,243.6651,1.1602,0.2736,0.7870,0.1550
99,-6622.8214,-662.2821,0.1117,235.0010,1.2398,0.2831,0.7559,0.1517
128,-5249.0398,-524.9040,0.0950,243.0618,1.2455,0.2716,0.7852,0.1617
212,-6277.9470,-627.7947,0.0828,247.1427,1.5904,0.2683,0.7985,0.1533
178,-4189.9129,-418.9913,0.1299,226.4065,1.1471,0.3011,0.7248,0.1600
129,-5630.6712,-563.0671,0.0873,246.8454,1.1299,0.2653,0.7989,0.1500
100,-8436.8087,-843.6809,0.1071,236.6308,1.1391,0.2801,0.7615,0.1600
213,-6779.9368,-677.9937,0.1009,241.9405,1.1616,0.2736,0.7822,0.1617
